,fname,lname,year,paperId
65,Jan,Chomicki,2002,http://arxiv.org/abs/cs/0207093v1
66,Marcelo,Arenas,2002,http://arxiv.org/abs/cs/0207094v1
67,Leopoldo,Bertossi,2002,http://arxiv.org/abs/cs/0207094v1
68,Jan,Chomicki,2002,http://arxiv.org/abs/cs/0207094v1
69,Georg,Gottlob,2002,http://arxiv.org/abs/cs/0211020v2
70,Christoph,Koch,2002,http://arxiv.org/abs/cs/0211020v2
71,Jan,Chomicki,2002,http://arxiv.org/abs/cs/0212004v1
72,Jerzy,Marcinkowski,2002,http://arxiv.org/abs/cs/0212004v1
73,Jan,Chomicki,2002,http://arxiv.org/abs/cs/0212017v1
74,Sofie,Haesevoets,2002,http://arxiv.org/abs/cs/0212017v1
75,Bart,Kuijpers,2002,http://arxiv.org/abs/cs/0212017v1
76,Peter,Revesz,2002,http://arxiv.org/abs/cs/0212017v1
77,Asuman,Dogac,2002,http://arxiv.org/abs/cs/0212051v1
78,Gokce,Laleci,2002,http://arxiv.org/abs/cs/0212051v1
79,Yildiray,Kabak,2002,http://arxiv.org/abs/cs/0212051v1
80,Ibrahim,Cingil,2002,http://arxiv.org/abs/cs/0212051v1
81,Asuman,Dogac,2002,http://arxiv.org/abs/cs/0212052v1
82,Ibrahim,Cingil,2002,http://arxiv.org/abs/cs/0212052v1
83,Gokce,Laleci,2002,http://arxiv.org/abs/cs/0212052v1
84,Yildiray,Kabak,2002,http://arxiv.org/abs/cs/0212052v1
85,Qingguo,Zheng,2003,http://arxiv.org/abs/cs/0301009v1
86,Millist,Vincent,2003,http://arxiv.org/abs/cs/0301017v1
87,Jixue,Liu,2003,http://arxiv.org/abs/cs/0301017v1
88,Nancy,Bercich,2003,http://arxiv.org/abs/cs/0305038v1
89,A.,Amorim,2003,http://arxiv.org/abs/cs/0306006v2
90,J.,Lima,2003,http://arxiv.org/abs/cs/0306006v2
91,C.,Oliveira,2003,http://arxiv.org/abs/cs/0306006v2
92,L.,Pedro,2003,http://arxiv.org/abs/cs/0306006v2
93,N.,Barros,2003,http://arxiv.org/abs/cs/0306006v2
94,Julius,Hrivnac,2003,http://arxiv.org/abs/cs/0306013v1
95,I.,Sourikova,2003,http://arxiv.org/abs/cs/0306019v1
96,D.,Morrison,2003,http://arxiv.org/abs/cs/0306019v1
97,Adeyemi,Adesanya,2003,http://arxiv.org/abs/cs/0306020v2
98,Tofigh,Azemoon,2003,http://arxiv.org/abs/cs/0306020v2
99,Jacek,Becla,2003,http://arxiv.org/abs/cs/0306020v2
100,Andrew,Hanushevsky,2003,http://arxiv.org/abs/cs/0306020v2
101,Adil,Hasan,2003,http://arxiv.org/abs/cs/0306020v2
102,Wilko,Kroeger,2003,http://arxiv.org/abs/cs/0306020v2
103,Artem,Trunov,2003,http://arxiv.org/abs/cs/0306020v2
104,Daniel,Wang,2003,http://arxiv.org/abs/cs/0306020v2
105,Igor,Gaponenko,2003,http://arxiv.org/abs/cs/0306020v2
106,Simon,Patton,2003,http://arxiv.org/abs/cs/0306020v2
107,David,Quarrie,2003,http://arxiv.org/abs/cs/0306020v2
108,William,Tanenbaum,2003,http://arxiv.org/abs/cs/0306034v1
109,D.,Chamont,2003,http://arxiv.org/abs/cs/0306056v1
110,C.,Charlot,2003,http://arxiv.org/abs/cs/0306056v1
111,C.,Cioffi,2003,http://arxiv.org/abs/cs/0306065v1
112,S.,Eckmann,2003,http://arxiv.org/abs/cs/0306065v1
113,M.,Girone,2003,http://arxiv.org/abs/cs/0306065v1
114,J.,Hrivnac,2003,http://arxiv.org/abs/cs/0306065v1
115,D.,Malon,2003,http://arxiv.org/abs/cs/0306065v1
116,H.,Schmuecker,2003,http://arxiv.org/abs/cs/0306065v1
117,A.,Vaniachine,2003,http://arxiv.org/abs/cs/0306065v1
118,J.,Wojcieszuk,2003,http://arxiv.org/abs/cs/0306065v1
119,Z.,Xie,2003,http://arxiv.org/abs/cs/0306065v1
120,Venicio,Duic,2003,http://arxiv.org/abs/cs/0306066v1
121,Massimo,Lamanna,2003,http://arxiv.org/abs/cs/0306066v1
122,Lars,Hagge,2003,http://arxiv.org/abs/cs/0306077v1
123,Jens,Kreutzkamp,2003,http://arxiv.org/abs/cs/0306077v1
124,Kathrin,Lappe,2003,http://arxiv.org/abs/cs/0306077v1
125,Jochen,Buerger,2003,http://arxiv.org/abs/cs/0306079v1
126,Lars,Hagge,2003,http://arxiv.org/abs/cs/0306079v1
127,Jens,Kreutzkamp,2003,http://arxiv.org/abs/cs/0306079v1
128,Kathrin,Lappe,2003,http://arxiv.org/abs/cs/0306079v1
129,Andrea,Robben,2003,http://arxiv.org/abs/cs/0306079v1
130,M.,Barczyc,2003,http://arxiv.org/abs/cs/0306081v1
131,D.,Burckhart-Chromek,2003,http://arxiv.org/abs/cs/0306081v1
132,M.,Caprini,2003,http://arxiv.org/abs/cs/0306081v1
133,J.,Conceicao,2003,http://arxiv.org/abs/cs/0306081v1
134,M.,Dobson,2003,http://arxiv.org/abs/cs/0306081v1
135,J.,Flammer,2003,http://arxiv.org/abs/cs/0306081v1
136,R.,Jones,2003,http://arxiv.org/abs/cs/0306081v1
137,A.,Kazarov,2003,http://arxiv.org/abs/cs/0306081v1
138,S.,Kolos,2003,http://arxiv.org/abs/cs/0306081v1
139,D.,Liko,2003,http://arxiv.org/abs/cs/0306081v1
140,L.,Mapelli,2003,http://arxiv.org/abs/cs/0306081v1
141,I.,Soloviev,2003,http://arxiv.org/abs/cs/0306081v1
142,R.,NIKHEF,2003,http://arxiv.org/abs/cs/0306081v1
143,A.,Amorim,2003,http://arxiv.org/abs/cs/0306081v1
144,D.,Klose,2003,http://arxiv.org/abs/cs/0306081v1
145,J.,Lima,2003,http://arxiv.org/abs/cs/0306081v1
146,L.,Lucio,2003,http://arxiv.org/abs/cs/0306081v1
147,L.,Pedro,2003,http://arxiv.org/abs/cs/0306081v1
148,H.,Wolters,2003,http://arxiv.org/abs/cs/0306081v1
149,E.,NIPNE,2003,http://arxiv.org/abs/cs/0306081v1
150,I.,Alexandrov,2003,http://arxiv.org/abs/cs/0306081v1
151,V.,Kotov,2003,http://arxiv.org/abs/cs/0306081v1
152,M.,JINR,2003,http://arxiv.org/abs/cs/0306081v1
153,Yu.,PNPI,2003,http://arxiv.org/abs/cs/0306081v1
154,Maurice,Ling,2003,http://arxiv.org/abs/cs/0307015v2
155,Chi,So,2003,http://arxiv.org/abs/cs/0307015v2
156,Richard,Wheeldon,2003,http://arxiv.org/abs/cs/0307073v1
157,Mark,Levene,2003,http://arxiv.org/abs/cs/0307073v1
158,Kevin,Keenoy,2003,http://arxiv.org/abs/cs/0307073v1
159,Agust,Egilsson,2003,http://arxiv.org/abs/cs/0309011v1
160,Hakon,Gudbjartsson,2003,http://arxiv.org/abs/cs/0309011v1
161,Serge,Abiteboul,2003,http://arxiv.org/abs/cs/0310006v1
162,Rakesh,Agrawal,2003,http://arxiv.org/abs/cs/0310006v1
163,Phil,Bernstein,2003,http://arxiv.org/abs/cs/0310006v1
164,Mike,Carey,2003,http://arxiv.org/abs/cs/0310006v1
165,Stefano,Ceri,2003,http://arxiv.org/abs/cs/0310006v1
166,Bruce,Croft,2003,http://arxiv.org/abs/cs/0310006v1
167,David,DeWitt,2003,http://arxiv.org/abs/cs/0310006v1
168,Mike,Franklin,2003,http://arxiv.org/abs/cs/0310006v1
169,Hector,Molina,2003,http://arxiv.org/abs/cs/0310006v1
170,Dieter,Gawlick,2003,http://arxiv.org/abs/cs/0310006v1
171,Jim,Gray,2003,http://arxiv.org/abs/cs/0310006v1
172,Laura,Haas,2003,http://arxiv.org/abs/cs/0310006v1
173,Alon,Halevy,2003,http://arxiv.org/abs/cs/0310006v1
174,Joe,Hellerstein,2003,http://arxiv.org/abs/cs/0310006v1
175,Yannis,Ioannidis,2003,http://arxiv.org/abs/cs/0310006v1
176,Martin,Kersten,2003,http://arxiv.org/abs/cs/0310006v1
177,Michael,Pazzani,2003,http://arxiv.org/abs/cs/0310006v1
178,Mike,Lesk,2003,http://arxiv.org/abs/cs/0310006v1
179,David,Maier,2003,http://arxiv.org/abs/cs/0310006v1
180,Jeff,Naughton,2003,http://arxiv.org/abs/cs/0310006v1
181,Hans,Schek,2003,http://arxiv.org/abs/cs/0310006v1
182,Timos,Sellis,2003,http://arxiv.org/abs/cs/0310006v1
183,Avi,Silberschatz,2003,http://arxiv.org/abs/cs/0310006v1
184,Mike,Stonebraker,2003,http://arxiv.org/abs/cs/0310006v1
185,Rick,Snodgrass,2003,http://arxiv.org/abs/cs/0310006v1
186,Jeff,Ullman,2003,http://arxiv.org/abs/cs/0310006v1
187,Gerhard,Weikum,2003,http://arxiv.org/abs/cs/0310006v1
188,Jennifer,Widom,2003,http://arxiv.org/abs/cs/0310006v1
189,Stan,Zdonik,2003,http://arxiv.org/abs/cs/0310006v1
190,Georg,Gottlob,2003,http://arxiv.org/abs/cs/0310012v1
191,Christoph,Koch,2003,http://arxiv.org/abs/cs/0310012v1
192,Anoop,Jain,2003,http://arxiv.org/abs/cs/0310028v1
193,Parag,Sarda,2003,http://arxiv.org/abs/cs/0310028v1
194,Jayant,Haritsa,2003,http://arxiv.org/abs/cs/0310028v1
195,Abhijit,Kadlag,2003,http://arxiv.org/abs/cs/0310035v1
196,Amol,Wanjari,2003,http://arxiv.org/abs/cs/0310035v1
197,Juliana,Freire,2003,http://arxiv.org/abs/cs/0310035v1
198,Jayant,Haritsa,2003,http://arxiv.org/abs/cs/0310035v1
199,Shipra,Agrawal,2003,http://arxiv.org/abs/cs/0310038v1
200,Vijay,Krishnan,2003,http://arxiv.org/abs/cs/0310038v1
201,Jayant,Haritsa,2003,http://arxiv.org/abs/cs/0310038v1
202,Wolfgang,May,2003,http://arxiv.org/abs/cs/0311038v1
203,Sergio,Flesca,2003,http://arxiv.org/abs/cs/0312042v1
204,Sergio,Greco,2003,http://arxiv.org/abs/cs/0312042v1
205,Laks,Lakshmanan,2003,http://arxiv.org/abs/cs/0312043v1
206,Fereidoon,Sadri,2003,http://arxiv.org/abs/cs/0312043v1
207,Vadim,Tropashko,2004,http://arxiv.org/abs/cs/0401014v1
208,Jan,Chomicki,2004,http://arxiv.org/abs/cs/0402003v1
209,Vadim,Tropashko,2004,http://arxiv.org/abs/cs/0402051v2
210,Girish,Motwani,2004,http://arxiv.org/abs/cs/0403014v2
211,Sandhya,Nair,2004,http://arxiv.org/abs/cs/0403014v2
212,Maria,Nieto-Santisteban,2004,http://arxiv.org/abs/cs/0403017v1
213,William,O'Mullane,2004,http://arxiv.org/abs/cs/0403017v1
214,Jim,Gray,2004,http://arxiv.org/abs/cs/0403017v1
215,Nolan,Li,2004,http://arxiv.org/abs/cs/0403017v1
216,Tamas,Budavari,2004,http://arxiv.org/abs/cs/0403017v1
217,Alexander,Szalay,2004,http://arxiv.org/abs/cs/0403017v1
218,Aniruddha,Thakar,2004,http://arxiv.org/abs/cs/0403017v1
219,Jim,Gray,2004,http://arxiv.org/abs/cs/0403018v1
220,Alexander,Szalay,2004,http://arxiv.org/abs/cs/0403018v1
221,Aniruddha,Thakar,2004,http://arxiv.org/abs/cs/0403020v1
222,Alexander,Szalay,2004,http://arxiv.org/abs/cs/0403020v1
223,Peter,Kunszt,2004,http://arxiv.org/abs/cs/0403020v1
224,Jim,Gray,2004,http://arxiv.org/abs/cs/0403020v1
225,Elisa,Bertino,2004,http://arxiv.org/abs/cs/0404003v1
226,Barbara,Catania,2004,http://arxiv.org/abs/cs/0404003v1
227,Roberta,Gori,2004,http://arxiv.org/abs/cs/0404003v1
228,Chiaki,Sakama,2004,http://arxiv.org/abs/cs/0405076v1
229,Katsumi,Inoue,2004,http://arxiv.org/abs/cs/0405076v1
230,Muhammad,Nadeem,2004,http://arxiv.org/abs/cs/0406004v1
231,Syed,Jaffri,2004,http://arxiv.org/abs/cs/0406004v1
232,Christoph,Koch,2004,http://arxiv.org/abs/cs/0406016v1
233,Stefanie,Scherzinger,2004,http://arxiv.org/abs/cs/0406016v1
234,Nicole,Schweikardt,2004,http://arxiv.org/abs/cs/0406016v1
235,Bernhard,Stegmaier,2004,http://arxiv.org/abs/cs/0406016v1
236,Satyanarayana,Valluri,2004,http://arxiv.org/abs/cs/0406029v1
237,Kamalakar,Karlapalem,2004,http://arxiv.org/abs/cs/0406029v1
238,Jim,Gray,2004,http://arxiv.org/abs/cs/0408030v1
239,Jim,Gray,2004,http://arxiv.org/abs/cs/0408031v1
240,Alexander,Szalay,2004,http://arxiv.org/abs/cs/0408031v1
241,Aniruddha,Thakar,2004,http://arxiv.org/abs/cs/0408031v1
242,Gyorgy,Fekete,2004,http://arxiv.org/abs/cs/0408031v1
243,William,O'Mullane,2004,http://arxiv.org/abs/cs/0408031v1
244,Maria,Nieto-Santisteban,2004,http://arxiv.org/abs/cs/0408031v1
245,Gerd,Heber,2004,http://arxiv.org/abs/cs/0408031v1
246,Arnold,Rots,2004,http://arxiv.org/abs/cs/0408031v1
247,Zhimao,Guo,2004,http://arxiv.org/abs/cs/0408051v1
248,Min,Li,2004,http://arxiv.org/abs/cs/0408051v1
249,Xiaoling,Wang,2004,http://arxiv.org/abs/cs/0408051v1
250,Aoying,Zhou,2004,http://arxiv.org/abs/cs/0408051v1
251,Haibin,Wang,2004,http://arxiv.org/abs/cs/0409020v1
252,Yuanchun,He,2004,http://arxiv.org/abs/cs/0409020v1
253,Rajshekhar,Sunderraman,2004,http://arxiv.org/abs/cs/0409020v1
254,C.,Jensen,2004,http://arxiv.org/abs/cs/0410001v2
255,H.,Lahrmann,2004,http://arxiv.org/abs/cs/0410001v2
256,S.,Pakalnis,2004,http://arxiv.org/abs/cs/0410001v2
257,J.,Runge,2004,http://arxiv.org/abs/cs/0410001v2
258,Floris,Geerts,2004,http://arxiv.org/abs/cs/0410038v1
259,Haibin,Wang,2004,http://arxiv.org/abs/cs/0410053v1
260,Hao,Tian,2004,http://arxiv.org/abs/cs/0410053v1
261,Rajshekhar,Sunderraman,2004,http://arxiv.org/abs/cs/0410053v1
262,Rajshekhar,Sunderraman,2004,http://arxiv.org/abs/cs/0410054v1
263,Haibin,Wang,2004,http://arxiv.org/abs/cs/0410054v1
264,Giovanni,Gasparri,2004,http://arxiv.org/abs/cs/0410070v1
265,Francesco,Buccafurri,2005,http://arxiv.org/abs/cs/0501029v1
266,Filippo,Furfaro,2005,http://arxiv.org/abs/cs/0501029v1
267,Domenico,Sacca',2005,http://arxiv.org/abs/cs/0501029v1
268,Vadim,Tropashko,2005,http://arxiv.org/abs/cs/0501053v3
269,Floris,Geerts,2005,http://arxiv.org/abs/cs/0503012v2
270,Sofie,Haesevoets,2005,http://arxiv.org/abs/cs/0503012v2
271,Bart,Kuijpers,2005,http://arxiv.org/abs/cs/0503012v2
272,Daniel,Pfeifer,2005,http://arxiv.org/abs/cs/0503022v2
273,Peter,Lockemann,2005,http://arxiv.org/abs/cs/0503022v2
274,Albrecht,Schmidt,2005,http://arxiv.org/abs/cs/0505038v1
275,Christian,Jensen,2005,http://arxiv.org/abs/cs/0505038v1
276,Sergio,Flesca,2005,http://arxiv.org/abs/cs/0505059v1
277,Filippo,Furfaro,2005,http://arxiv.org/abs/cs/0505059v1
278,Francesco,Parisi,2005,http://arxiv.org/abs/cs/0505059v1
279,Stijn,Dekeyser,2005,http://arxiv.org/abs/cs/0505074v1
280,Jan,Hidders,2005,http://arxiv.org/abs/cs/0505074v1
281,Jan,Paredaens,2005,http://arxiv.org/abs/cs/0505074v1
282,Roel,Vercammen,2005,http://arxiv.org/abs/cs/0505074v1
283,Angela,Bonifati,2005,http://arxiv.org/abs/cs/0506002v1
284,Elaine,Chang,2005,http://arxiv.org/abs/cs/0506002v1
285,Terence,Ho,2005,http://arxiv.org/abs/cs/0506002v1
286,Laks,Lakshmanan,2005,http://arxiv.org/abs/cs/0506002v1
287,Rada,Chirkova,2005,http://arxiv.org/abs/cs/0506026v1
288,Michael,Genesereth,2005,http://arxiv.org/abs/cs/0506026v1
289,Slawomir,Staworko,2005,http://arxiv.org/abs/cs/0506063v1
290,Jan,Chomicki,2005,http://arxiv.org/abs/cs/0506063v1
291,Gennady,Berman,2005,http://arxiv.org/abs/cs/0508120v1
292,Vyacheslav,Gorshkov,2005,http://arxiv.org/abs/cs/0508120v1
293,Edward,MacKerrow,2005,http://arxiv.org/abs/cs/0508120v1
294,Xidi,Wang,2005,http://arxiv.org/abs/cs/0508120v1
295,Babajide,Afolabi,2005,http://arxiv.org/abs/cs/0509088v1
296,Odile,Thiery,2005,http://arxiv.org/abs/cs/0509088v1
297,Sergiu,Chelcea,2005,http://arxiv.org/abs/cs/0511106v1
298,Alzennyr,Silva,2005,http://arxiv.org/abs/cs/0511106v1
299,Yves,Lechevallier,2005,http://arxiv.org/abs/cs/0511106v1
300,Doru,Tanasa,2005,http://arxiv.org/abs/cs/0511106v1
301,Brigitte,Trousse,2005,http://arxiv.org/abs/cs/0511106v1
302,Andrei,Arion,2006,http://arxiv.org/abs/cs/0602039v1
303,Angela,Bonifati,2006,http://arxiv.org/abs/cs/0602039v1
304,Ioana,Manolescu,2006,http://arxiv.org/abs/cs/0602039v1
305,Andrea,Pugliese,2006,http://arxiv.org/abs/cs/0602039v1
306,Marshall,Spight,2006,http://arxiv.org/abs/cs/0603044v2
307,Vadim,Tropashko,2006,http://arxiv.org/abs/cs/0603044v2
308,Loreto,Bravo,2006,http://arxiv.org/abs/cs/0604076v1
309,Leopoldo,Bertossi,2006,http://arxiv.org/abs/cs/0604076v1
310,Jorge,Perez,2006,http://arxiv.org/abs/cs/0605124v1
311,Marcelo,Arenas,2006,http://arxiv.org/abs/cs/0605124v1
312,Claudio,Gutierrez,2006,http://arxiv.org/abs/cs/0605124v1
313,Lyublena,Antova,2006,http://arxiv.org/abs/cs/0606075v2
314,Christoph,Koch,2006,http://arxiv.org/abs/cs/0606075v2
315,Dan,Olteanu,2006,http://arxiv.org/abs/cs/0606075v2
316,E.,Jimenez-Ruiz,2006,http://arxiv.org/abs/cs/0609144v1
317,R.,Berlanga,2006,http://arxiv.org/abs/cs/0609144v1
318,I.,Sanz,2006,http://arxiv.org/abs/cs/0609144v1
319,R.,McClatchey,2006,http://arxiv.org/abs/cs/0609144v1
320,R.,Danger,2006,http://arxiv.org/abs/cs/0609144v1
321,D.,Manset,2006,http://arxiv.org/abs/cs/0609144v1
322,J.,Paraire,2006,http://arxiv.org/abs/cs/0609144v1
323,A.,Rios,2006,http://arxiv.org/abs/cs/0609144v1
324,William,Gilreath,2006,http://arxiv.org/abs/cs/0610020v2
325,Scot,Anderson,2006,http://arxiv.org/abs/cs/0611031v2
326,Peter,Revesz,2006,http://arxiv.org/abs/cs/0611031v2
327,Ravindra,Guravannavar,2006,http://arxiv.org/abs/cs/0611094v1
328,S,Sudarshan,2006,http://arxiv.org/abs/cs/0611094v1
329,Ajit,Diwan,2006,http://arxiv.org/abs/cs/0611094v1
330,Ch.,Babu,2006,http://arxiv.org/abs/cs/0611094v1
331,Nilesh,Dalvi,2006,http://arxiv.org/abs/cs/0612102v2
332,Dan,Suciu,2006,http://arxiv.org/abs/cs/0612102v2
333,Vibhor,Rastogi,2006,http://arxiv.org/abs/cs/0612103v1
334,Dan,Suciu,2006,http://arxiv.org/abs/cs/0612103v1
335,Sungho,Hong,2006,http://arxiv.org/abs/cs/0612103v1
336,James,Hamilton,2006,http://arxiv.org/abs/cs/0612110v1
337,Russell,Sears,2006,http://arxiv.org/abs/cs/0612111v1
338,Catharine,Ingen,2006,http://arxiv.org/abs/cs/0612111v1
339,Boris,Baryshnikov,2006,http://arxiv.org/abs/cs/0612112v1
340,Cipri,Clinciu,2006,http://arxiv.org/abs/cs/0612112v1
341,Conor,Cunningham,2006,http://arxiv.org/abs/cs/0612112v1
342,Leo,Giakoumakis,2006,http://arxiv.org/abs/cs/0612112v1
343,Slava,Oks,2006,http://arxiv.org/abs/cs/0612112v1
344,Stefano,Stefani,2006,http://arxiv.org/abs/cs/0612112v1
345,Paul,Greenfield,2006,http://arxiv.org/abs/cs/0612113v1
346,Alan,Fekete,2006,http://arxiv.org/abs/cs/0612113v1
347,Julian,Jang,2006,http://arxiv.org/abs/cs/0612113v1
348,Dean,Kuo,2006,http://arxiv.org/abs/cs/0612113v1
349,Surya,Nepal,2006,http://arxiv.org/abs/cs/0612113v1
350,Alexander,Böhm,2006,http://arxiv.org/abs/cs/0612114v1
351,Carl-Christian,Kanne,2006,http://arxiv.org/abs/cs/0612114v1
352,Guido,Moerkotte,2006,http://arxiv.org/abs/cs/0612114v1
353,Roger,Barga,2006,http://arxiv.org/abs/cs/0612115v1
354,Jonathan,Goldstein,2006,http://arxiv.org/abs/cs/0612115v1
355,Mohamed,Ali,2006,http://arxiv.org/abs/cs/0612115v1
356,Mingsheng,Hong,2006,http://arxiv.org/abs/cs/0612115v1
357,Mohamed,Eltabakh,2006,http://arxiv.org/abs/cs/0612127v1
358,Mourad,Ouzzani,2006,http://arxiv.org/abs/cs/0612127v1
359,Walid,Aref,2006,http://arxiv.org/abs/cs/0612127v1
360,Daniel,Gyllstrom,2006,http://arxiv.org/abs/cs/0612128v1
361,Eugene,Wu,2006,http://arxiv.org/abs/cs/0612128v1
362,Hee-Jin,Chae,2006,http://arxiv.org/abs/cs/0612128v1
363,Yanlei,Diao,2006,http://arxiv.org/abs/cs/0612128v1
364,Patrick,Stahlberg,2006,http://arxiv.org/abs/cs/0612128v1
365,Gordon,Anderson,2006,http://arxiv.org/abs/cs/0612128v1
366,Bishwaranjan,Bhattacharjee,2006,http://arxiv.org/abs/cs/0612129v1
367,Vuk,Ercegovac,2006,http://arxiv.org/abs/cs/0612129v1
368,Joseph,Glider,2006,http://arxiv.org/abs/cs/0612129v1
369,Richard,Golding,2006,http://arxiv.org/abs/cs/0612129v1
370,Guy,Lohman,2006,http://arxiv.org/abs/cs/0612129v1
371,Volke,Markl,2006,http://arxiv.org/abs/cs/0612129v1
372,Hamid,Pirahesh,2006,http://arxiv.org/abs/cs/0612129v1
373,Jun,Rao,2006,http://arxiv.org/abs/cs/0612129v1
374,Robert,Rees,2006,http://arxiv.org/abs/cs/0612129v1
375,Frederick,Reiss,2006,http://arxiv.org/abs/cs/0612129v1
376,Eugene,Shekita,2006,http://arxiv.org/abs/cs/0612129v1
377,Garret,Swart,2006,http://arxiv.org/abs/cs/0612129v1
378,Eric,Robinson,2006,http://arxiv.org/abs/cs/0612137v1
379,David,DeWitt,2006,http://arxiv.org/abs/cs/0612137v1
380,Jim,Gray,2007,http://arxiv.org/abs/cs/0701155v1
381,Surajit,Chaudhuri,2007,http://arxiv.org/abs/cs/0701155v1
382,Adam,Bosworth,2007,http://arxiv.org/abs/cs/0701155v1
383,Andrew,Layman,2007,http://arxiv.org/abs/cs/0701155v1
384,Don,Reichart,2007,http://arxiv.org/abs/cs/0701155v1
385,Murali,Venkatrao,2007,http://arxiv.org/abs/cs/0701155v1
386,Frank,Pellow,2007,http://arxiv.org/abs/cs/0701155v1
387,Hamid,Pirahesh,2007,http://arxiv.org/abs/cs/0701155v1
