,id,title
79,http://arxiv.org/abs/cs/0505059v1,"Consistent query answers on numerical databases under aggregate
  constraints"
80,http://arxiv.org/abs/cs/0505074v1,Instance-Independent View Serializability for Semistructured Databases
81,http://arxiv.org/abs/cs/0506002v1,HepToX: Heterogeneous Peer to Peer XML Databases
82,http://arxiv.org/abs/cs/0506026v1,Database Reformulation with Integrity Constraints (extended abstract)
83,http://arxiv.org/abs/cs/0506063v1,Priority-Based Conflict Resolution in Inconsistent Relational Databases
84,http://arxiv.org/abs/cs/0508120v1,"Iterative Algorithm for Finding Frequent Patterns in Transactional
  Databases"
85,http://arxiv.org/abs/cs/0509088v1,"Business intelligence systems and user's parameters: an application to a
  documents' database"
86,http://arxiv.org/abs/cs/0511106v1,"Benefits of InterSite Pre-Processing and Clustering Methods in
  E-Commerce Domain"
87,http://arxiv.org/abs/cs/0602039v1,Path Summaries and Path Partitioning in Modern XML Databases
88,http://arxiv.org/abs/cs/0603044v2,First Steps in Relational Lattice
89,http://arxiv.org/abs/cs/0604076v1,Semantically Correct Query Answers in the Presence of Null Values
90,http://arxiv.org/abs/cs/0605124v1,Semantics and Complexity of SPARQL
91,http://arxiv.org/abs/cs/0606075v2,"10^(10^6) Worlds and Beyond: Efficient Representation and Processing of
  Incomplete Information"
92,http://arxiv.org/abs/cs/0609144v1,"The Management and Integration of Biomedical Knowledge: Application in
  the Health-e-Child Project (Position Paper)"
93,http://arxiv.org/abs/cs/0610020v2,XString: XML as a String
94,http://arxiv.org/abs/cs/0611031v2,Efficient Threshold Aggregation of Moving Objects
95,http://arxiv.org/abs/cs/0611094v1,Reducing Order Enforcement Cost in Complex Query Plans
96,http://arxiv.org/abs/cs/0612102v2,The Dichotomy of Conjunctive Queries on Probabilistic Structures
97,http://arxiv.org/abs/cs/0612103v1,The Boundary Between Privacy and Utility in Data Anonymization
98,http://arxiv.org/abs/cs/0612110v1,Architecture for Modular Data Centers
99,http://arxiv.org/abs/cs/0612111v1,Fragmentation in Large Object Repositories
