,fname,lname,paperId
32,K.,Eder,http://arxiv.org/abs/cs/0111004v1
33,S.,Dean,http://arxiv.org/abs/cs/0111004v1
34,Robert,Soliday,http://arxiv.org/abs/cs/0111006v1
35,Satyanarayana,Valluri,http://arxiv.org/abs/cs/0202035v1
36,Soujanya,Vadapalli,http://arxiv.org/abs/cs/0202035v1
37,Kamalakar,Karlapalem,http://arxiv.org/abs/cs/0202035v1
38,Jan,Bussche,http://arxiv.org/abs/cs/0202037v2
39,Stijn,Vansummeren,http://arxiv.org/abs/cs/0202037v2
40,Gottfried,Vossen,http://arxiv.org/abs/cs/0202037v2
41,Jan,Chomicki,http://arxiv.org/abs/cs/0204010v1
42,Jerzy,Marcinkowski,http://arxiv.org/abs/cs/0204010v1
43,Christoph,Koch,http://arxiv.org/abs/cs/0205060v1
44,Marcelo,Arenas,http://arxiv.org/abs/cs/0207094v1
45,Leopoldo,Bertossi,http://arxiv.org/abs/cs/0207094v1
46,Georg,Gottlob,http://arxiv.org/abs/cs/0211020v2
47,Sofie,Haesevoets,http://arxiv.org/abs/cs/0212017v1
48,Bart,Kuijpers,http://arxiv.org/abs/cs/0212017v1
49,Peter,Revesz,http://arxiv.org/abs/cs/0212017v1
50,Asuman,Dogac,http://arxiv.org/abs/cs/0212051v1
51,Gokce,Laleci,http://arxiv.org/abs/cs/0212051v1
52,Yildiray,Kabak,http://arxiv.org/abs/cs/0212051v1
53,Ibrahim,Cingil,http://arxiv.org/abs/cs/0212051v1
54,Qingguo,Zheng,http://arxiv.org/abs/cs/0301009v1
55,Millist,Vincent,http://arxiv.org/abs/cs/0301017v1
56,Jixue,Liu,http://arxiv.org/abs/cs/0301017v1
57,Nancy,Bercich,http://arxiv.org/abs/cs/0305038v1
58,A.,Amorim,http://arxiv.org/abs/cs/0306006v2
59,J.,Lima,http://arxiv.org/abs/cs/0306006v2
60,C.,Oliveira,http://arxiv.org/abs/cs/0306006v2
61,L.,Pedro,http://arxiv.org/abs/cs/0306006v2
62,N.,Barros,http://arxiv.org/abs/cs/0306006v2
63,Julius,Hrivnac,http://arxiv.org/abs/cs/0306013v1
64,I.,Sourikova,http://arxiv.org/abs/cs/0306019v1
65,D.,Morrison,http://arxiv.org/abs/cs/0306019v1
66,Adeyemi,Adesanya,http://arxiv.org/abs/cs/0306020v2
67,Tofigh,Azemoon,http://arxiv.org/abs/cs/0306020v2
68,Jacek,Becla,http://arxiv.org/abs/cs/0306020v2
69,Andrew,Hanushevsky,http://arxiv.org/abs/cs/0306020v2
70,Adil,Hasan,http://arxiv.org/abs/cs/0306020v2
71,Wilko,Kroeger,http://arxiv.org/abs/cs/0306020v2
72,Artem,Trunov,http://arxiv.org/abs/cs/0306020v2
73,Daniel,Wang,http://arxiv.org/abs/cs/0306020v2
74,Igor,Gaponenko,http://arxiv.org/abs/cs/0306020v2
75,Simon,Patton,http://arxiv.org/abs/cs/0306020v2
76,David,Quarrie,http://arxiv.org/abs/cs/0306020v2
77,William,Tanenbaum,http://arxiv.org/abs/cs/0306034v1
78,D.,Chamont,http://arxiv.org/abs/cs/0306056v1
79,C.,Charlot,http://arxiv.org/abs/cs/0306056v1
80,C.,Cioffi,http://arxiv.org/abs/cs/0306065v1
81,S.,Eckmann,http://arxiv.org/abs/cs/0306065v1
82,M.,Girone,http://arxiv.org/abs/cs/0306065v1
83,J.,Hrivnac,http://arxiv.org/abs/cs/0306065v1
84,D.,Malon,http://arxiv.org/abs/cs/0306065v1
85,H.,Schmuecker,http://arxiv.org/abs/cs/0306065v1
86,A.,Vaniachine,http://arxiv.org/abs/cs/0306065v1
87,J.,Wojcieszuk,http://arxiv.org/abs/cs/0306065v1
88,Z.,Xie,http://arxiv.org/abs/cs/0306065v1
89,Venicio,Duic,http://arxiv.org/abs/cs/0306066v1
90,Massimo,Lamanna,http://arxiv.org/abs/cs/0306066v1
91,Lars,Hagge,http://arxiv.org/abs/cs/0306077v1
92,Jens,Kreutzkamp,http://arxiv.org/abs/cs/0306077v1
93,Kathrin,Lappe,http://arxiv.org/abs/cs/0306077v1
94,Jochen,Buerger,http://arxiv.org/abs/cs/0306079v1
95,Andrea,Robben,http://arxiv.org/abs/cs/0306079v1
96,M.,Barczyc,http://arxiv.org/abs/cs/0306081v1
97,D.,Burckhart-Chromek,http://arxiv.org/abs/cs/0306081v1
98,M.,Caprini,http://arxiv.org/abs/cs/0306081v1
99,J.,Conceicao,http://arxiv.org/abs/cs/0306081v1
100,M.,Dobson,http://arxiv.org/abs/cs/0306081v1
101,J.,Flammer,http://arxiv.org/abs/cs/0306081v1
102,R.,Jones,http://arxiv.org/abs/cs/0306081v1
103,A.,Kazarov,http://arxiv.org/abs/cs/0306081v1
104,S.,Kolos,http://arxiv.org/abs/cs/0306081v1
105,D.,Liko,http://arxiv.org/abs/cs/0306081v1
106,L.,Mapelli,http://arxiv.org/abs/cs/0306081v1
107,I.,Soloviev,http://arxiv.org/abs/cs/0306081v1
108,R.,NIKHEF,http://arxiv.org/abs/cs/0306081v1
109,D.,Klose,http://arxiv.org/abs/cs/0306081v1
110,L.,Lucio,http://arxiv.org/abs/cs/0306081v1
111,H.,Wolters,http://arxiv.org/abs/cs/0306081v1
112,E.,NIPNE,http://arxiv.org/abs/cs/0306081v1
113,I.,Alexandrov,http://arxiv.org/abs/cs/0306081v1
114,V.,Kotov,http://arxiv.org/abs/cs/0306081v1
115,M.,JINR,http://arxiv.org/abs/cs/0306081v1
116,Yu.,PNPI,http://arxiv.org/abs/cs/0306081v1
117,Maurice,Ling,http://arxiv.org/abs/cs/0307015v2
118,Chi,So,http://arxiv.org/abs/cs/0307015v2
119,Richard,Wheeldon,http://arxiv.org/abs/cs/0307073v1
120,Mark,Levene,http://arxiv.org/abs/cs/0307073v1
121,Kevin,Keenoy,http://arxiv.org/abs/cs/0307073v1
122,Agust,Egilsson,http://arxiv.org/abs/cs/0309011v1
123,Hakon,Gudbjartsson,http://arxiv.org/abs/cs/0309011v1
124,Serge,Abiteboul,http://arxiv.org/abs/cs/0310006v1
125,Rakesh,Agrawal,http://arxiv.org/abs/cs/0310006v1
126,Phil,Bernstein,http://arxiv.org/abs/cs/0310006v1
127,Mike,Carey,http://arxiv.org/abs/cs/0310006v1
128,Bruce,Croft,http://arxiv.org/abs/cs/0310006v1
129,David,DeWitt,http://arxiv.org/abs/cs/0310006v1
130,Mike,Franklin,http://arxiv.org/abs/cs/0310006v1
131,Hector,Molina,http://arxiv.org/abs/cs/0310006v1
132,Dieter,Gawlick,http://arxiv.org/abs/cs/0310006v1
133,Laura,Haas,http://arxiv.org/abs/cs/0310006v1
134,Alon,Halevy,http://arxiv.org/abs/cs/0310006v1
135,Joe,Hellerstein,http://arxiv.org/abs/cs/0310006v1
136,Yannis,Ioannidis,http://arxiv.org/abs/cs/0310006v1
137,Martin,Kersten,http://arxiv.org/abs/cs/0310006v1
138,Michael,Pazzani,http://arxiv.org/abs/cs/0310006v1
139,Mike,Lesk,http://arxiv.org/abs/cs/0310006v1
140,David,Maier,http://arxiv.org/abs/cs/0310006v1
141,Jeff,Naughton,http://arxiv.org/abs/cs/0310006v1
142,Hans,Schek,http://arxiv.org/abs/cs/0310006v1
143,Timos,Sellis,http://arxiv.org/abs/cs/0310006v1
144,Avi,Silberschatz,http://arxiv.org/abs/cs/0310006v1
145,Mike,Stonebraker,http://arxiv.org/abs/cs/0310006v1
146,Rick,Snodgrass,http://arxiv.org/abs/cs/0310006v1
147,Jeff,Ullman,http://arxiv.org/abs/cs/0310006v1
148,Gerhard,Weikum,http://arxiv.org/abs/cs/0310006v1
149,Jennifer,Widom,http://arxiv.org/abs/cs/0310006v1
150,Stan,Zdonik,http://arxiv.org/abs/cs/0310006v1
151,Anoop,Jain,http://arxiv.org/abs/cs/0310028v1
152,Parag,Sarda,http://arxiv.org/abs/cs/0310028v1
153,Jayant,Haritsa,http://arxiv.org/abs/cs/0310028v1
154,Abhijit,Kadlag,http://arxiv.org/abs/cs/0310035v1
155,Amol,Wanjari,http://arxiv.org/abs/cs/0310035v1
156,Juliana,Freire,http://arxiv.org/abs/cs/0310035v1
157,Shipra,Agrawal,http://arxiv.org/abs/cs/0310038v1
158,Vijay,Krishnan,http://arxiv.org/abs/cs/0310038v1
159,Jayant,Haritsa,http://arxiv.org/abs/cs/0310038v1
160,Wolfgang,May,http://arxiv.org/abs/cs/0311038v1
161,Sergio,Flesca,http://arxiv.org/abs/cs/0312042v1
162,Sergio,Greco,http://arxiv.org/abs/cs/0312042v1
163,Laks,Lakshmanan,http://arxiv.org/abs/cs/0312043v1
164,Fereidoon,Sadri,http://arxiv.org/abs/cs/0312043v1
165,Vadim,Tropashko,http://arxiv.org/abs/cs/0401014v1
166,Girish,Motwani,http://arxiv.org/abs/cs/0403014v2
167,Sandhya,Nair,http://arxiv.org/abs/cs/0403014v2
168,Maria,Nieto-Santisteban,http://arxiv.org/abs/cs/0403017v1
169,William,O'Mullane,http://arxiv.org/abs/cs/0403017v1
170,Nolan,Li,http://arxiv.org/abs/cs/0403017v1
171,Tamas,Budavari,http://arxiv.org/abs/cs/0403017v1
172,Alexander,Szalay,http://arxiv.org/abs/cs/0403017v1
173,Aniruddha,Thakar,http://arxiv.org/abs/cs/0403017v1
174,Peter,Kunszt,http://arxiv.org/abs/cs/0403020v1
175,Elisa,Bertino,http://arxiv.org/abs/cs/0404003v1
176,Barbara,Catania,http://arxiv.org/abs/cs/0404003v1
177,Roberta,Gori,http://arxiv.org/abs/cs/0404003v1
178,Chiaki,Sakama,http://arxiv.org/abs/cs/0405076v1
179,Katsumi,Inoue,http://arxiv.org/abs/cs/0405076v1
180,Muhammad,Nadeem,http://arxiv.org/abs/cs/0406004v1
181,Syed,Jaffri,http://arxiv.org/abs/cs/0406004v1
182,Stefanie,Scherzinger,http://arxiv.org/abs/cs/0406016v1
183,Nicole,Schweikardt,http://arxiv.org/abs/cs/0406016v1
184,Bernhard,Stegmaier,http://arxiv.org/abs/cs/0406016v1
185,Gyorgy,Fekete,http://arxiv.org/abs/cs/0408031v1
186,Gerd,Heber,http://arxiv.org/abs/cs/0408031v1
187,Arnold,Rots,http://arxiv.org/abs/cs/0408031v1
188,Zhimao,Guo,http://arxiv.org/abs/cs/0408051v1
189,Min,Li,http://arxiv.org/abs/cs/0408051v1
190,Xiaoling,Wang,http://arxiv.org/abs/cs/0408051v1
191,Aoying,Zhou,http://arxiv.org/abs/cs/0408051v1
192,Haibin,Wang,http://arxiv.org/abs/cs/0409020v1
193,Yuanchun,He,http://arxiv.org/abs/cs/0409020v1
194,Rajshekhar,Sunderraman,http://arxiv.org/abs/cs/0409020v1
195,C.,Jensen,http://arxiv.org/abs/cs/0410001v2
196,H.,Lahrmann,http://arxiv.org/abs/cs/0410001v2
197,S.,Pakalnis,http://arxiv.org/abs/cs/0410001v2
198,J.,Runge,http://arxiv.org/abs/cs/0410001v2
199,Floris,Geerts,http://arxiv.org/abs/cs/0410038v1
200,Hao,Tian,http://arxiv.org/abs/cs/0410053v1
201,Giovanni,Gasparri,http://arxiv.org/abs/cs/0410070v1
202,Francesco,Buccafurri,http://arxiv.org/abs/cs/0501029v1
203,Filippo,Furfaro,http://arxiv.org/abs/cs/0501029v1
204,Domenico,Sacca',http://arxiv.org/abs/cs/0501029v1
205,Daniel,Pfeifer,http://arxiv.org/abs/cs/0503022v2
206,Peter,Lockemann,http://arxiv.org/abs/cs/0503022v2
207,Albrecht,Schmidt,http://arxiv.org/abs/cs/0505038v1
208,Christian,Jensen,http://arxiv.org/abs/cs/0505038v1
209,Francesco,Parisi,http://arxiv.org/abs/cs/0505059v1
210,Stijn,Dekeyser,http://arxiv.org/abs/cs/0505074v1
211,Jan,Hidders,http://arxiv.org/abs/cs/0505074v1
212,Jan,Paredaens,http://arxiv.org/abs/cs/0505074v1
213,Roel,Vercammen,http://arxiv.org/abs/cs/0505074v1
214,Elaine,Chang,http://arxiv.org/abs/cs/0506002v1
215,Terence,Ho,http://arxiv.org/abs/cs/0506002v1
216,Rada,Chirkova,http://arxiv.org/abs/cs/0506026v1
217,Michael,Genesereth,http://arxiv.org/abs/cs/0506026v1
218,Slawomir,Staworko,http://arxiv.org/abs/cs/0506063v1
219,Gennady,Berman,http://arxiv.org/abs/cs/0508120v1
220,Vyacheslav,Gorshkov,http://arxiv.org/abs/cs/0508120v1
221,Edward,MacKerrow,http://arxiv.org/abs/cs/0508120v1
222,Xidi,Wang,http://arxiv.org/abs/cs/0508120v1
223,Babajide,Afolabi,http://arxiv.org/abs/cs/0509088v1
224,Odile,Thiery,http://arxiv.org/abs/cs/0509088v1
225,Sergiu,Chelcea,http://arxiv.org/abs/cs/0511106v1
226,Alzennyr,Silva,http://arxiv.org/abs/cs/0511106v1
227,Yves,Lechevallier,http://arxiv.org/abs/cs/0511106v1
228,Doru,Tanasa,http://arxiv.org/abs/cs/0511106v1
229,Brigitte,Trousse,http://arxiv.org/abs/cs/0511106v1
230,Andrei,Arion,http://arxiv.org/abs/cs/0602039v1
231,Ioana,Manolescu,http://arxiv.org/abs/cs/0602039v1
232,Andrea,Pugliese,http://arxiv.org/abs/cs/0602039v1
233,Marshall,Spight,http://arxiv.org/abs/cs/0603044v2
234,Loreto,Bravo,http://arxiv.org/abs/cs/0604076v1
235,Jorge,Perez,http://arxiv.org/abs/cs/0605124v1
236,Claudio,Gutierrez,http://arxiv.org/abs/cs/0605124v1
237,Lyublena,Antova,http://arxiv.org/abs/cs/0606075v2
238,Dan,Olteanu,http://arxiv.org/abs/cs/0606075v2
239,E.,Jimenez-Ruiz,http://arxiv.org/abs/cs/0609144v1
240,R.,Berlanga,http://arxiv.org/abs/cs/0609144v1
241,I.,Sanz,http://arxiv.org/abs/cs/0609144v1
242,R.,McClatchey,http://arxiv.org/abs/cs/0609144v1
243,R.,Danger,http://arxiv.org/abs/cs/0609144v1
244,D.,Manset,http://arxiv.org/abs/cs/0609144v1
245,J.,Paraire,http://arxiv.org/abs/cs/0609144v1
246,A.,Rios,http://arxiv.org/abs/cs/0609144v1
247,William,Gilreath,http://arxiv.org/abs/cs/0610020v2
248,Scot,Anderson,http://arxiv.org/abs/cs/0611031v2
249,Ravindra,Guravannavar,http://arxiv.org/abs/cs/0611094v1
250,S,Sudarshan,http://arxiv.org/abs/cs/0611094v1
251,Ajit,Diwan,http://arxiv.org/abs/cs/0611094v1
252,Ch.,Babu,http://arxiv.org/abs/cs/0611094v1
253,Nilesh,Dalvi,http://arxiv.org/abs/cs/0612102v2
254,Dan,Suciu,http://arxiv.org/abs/cs/0612102v2
255,Vibhor,Rastogi,http://arxiv.org/abs/cs/0612103v1
256,Sungho,Hong,http://arxiv.org/abs/cs/0612103v1
257,James,Hamilton,http://arxiv.org/abs/cs/0612110v1
258,Russell,Sears,http://arxiv.org/abs/cs/0612111v1
259,Catharine,Ingen,http://arxiv.org/abs/cs/0612111v1
